title,description,text,category,priority
Dirty public toilet,Public toilet dirty near Ward 2 requires cleaning,dirty publc toilt. public toilet dirty nar ward to reqires clenng,Sanitation,Medium
Waste collection delayed,Waste collection delayed by one day near Near School,waste collection delayed. waste collection delayed by one day near near school,Sanitation,Low
Low water pressure,Low water pressure near Sector 7 affecting daily use,low water pressure. low water pressure near sector 7 affecting daily use,Water,Medium
Road collapsed,Road collapsed near Sector 5 causing danger to vehicles,road collapsed. road collapsed near sector 5 causing danger to vehicles,Roads,High
Road flooded blocking traffic,Road flooded near Market Area blocking traffic completely,road flooded blocking traffic. road flooded near market area blocking traffic completely,Roads,High
Sewage pipe burst,Sewage pipe burst near Near School - this is about sanitation not water supply,sewage pipe burst. sewage pipe burst near near school - this is about sanitation not water supply,Sanitation,Low
Occasional bad smell,Occasional bad smell near Near Hospital from waste,occasional bad smell. occasional bad smell near near hospital from waste,Sanitation,Low
Road flooded blocking traffic,Road flooded near Ward 2 blocking traffic completely,road flooded blocking traffic. road flooded near ward to blocking traffic completely,Roads,High
Irregular garbage collection,Garbage collection irregular near Sector 7 causing inconvenience,irregular garbage collection. garbage collection irregular near sector 7 causing inconvenience,Sanitation,Medium
Sewage pipe burst,Sewage pipe burst near Ward 2 - this is about sanitation not water supply,sewage pipe burst. sewage pipe burst near ward to - this is about sanitation not water supply,Sanitation,Low
Garbage not collected,Garbage not collected for many days near Main Road causing health hazard,garbage not collected. garbage not collected for many days near main road causing health hazard,Sanitation,High
Electric pole tilted,Electric pole tilted near Bus Stand needs correction,electric pole tilted. electric pole tilted near bus stand needs correction,Electricity,Medium
Minor garbage scattered,Minor garbage scattered near Bus Stand needs cleanup,minor garbage scattered. minor garbage scattered near bus stand needs cleanup,Sanitation,Low
Loose gravel on road,Loose gravel on road near Main Road causing skidding,loose gravel on road. loose gravel on road near main road causing skidding,Roads,Medium
Dust on roadside,Dust on roadside near Residential Colony needs cleaning,dust on roadside. dust on roadside near residential colony needs cleaning,Roads,Low
Overflowing dustbin,Overflowing dustbin near Sector 5 needs attention,overflowing dustbin. overflowing dustbin near sector 5 needs attention,Sanitation,Medium
Road flooded blocking traffic,Road flooded near Near School blocking traffic completely,road flooded blocking traffic. road flooded near near school blocking traffic completely,Roads,High
Open sewage overflow,Sewage overflowing near Bus Stand causing health risk and foul smell,open sewage overflow. sewage overflowing near bus stand causing health risk and foul smell,Sanitation,High
Water meter damaged,Water meter damaged near Ward 2 needs replacement,water meter damaged. water meter damaged near ward to needs replacement,Water,Low
Damaged speed breaker,Speed breaker damaged near Ward 3 needs repair,damaged speed breaker. speed breaker damaged near ward 3 needs repair,Roads,Medium
Major leakage flooding,Major leakage flooding road near Residential Colony blocking traffic,major leakage flooding. major leakage flooding road near residential colony blocking traffic,Water,High
Water leakage,Water leakage near Main Road wasting water,water leakage. water leakage near main road wasting water,Water,Medium
Water supply issue,Water supply issue near Ward 2 - this is about water not electricity,water supply issue. water supply issue near ward to - this is about water not electricity,Water,Low
Water pressure fluctuates,Water pressure fluctuates slightly near Sector 5,water pressure flctates. water pressure flucttes slightly ner sectr 5,Water,Low
No water supply,No water supply for several days near Ward 2 causing hardship,no water supply. no water supply for several days near ward to causing hardship,Water,High
High voltage fluctuation,High voltage fluctuation damaging appliances near Bus Stand,high voltage fluctuation. high voltage fluctuation damaging appliances near bus stand,Electricity,High
Damaged speed breaker,Speed breaker damaged near Market Area needs repair,damaged speed breaker. speed breaker damaged near market area needs repair,Roads,Medium
Frequent power cuts,Frequent power cuts near Ward 1 affecting daily life,freqent power cuts. frequnt pwer cuts nar ward 1 affecting daly life,Electricity,Medium
Occasional bad smell,Occasional bad smell near Residential Colony from waste,occasional bad smell. occasional bad smell near residential colony from waste,Sanitation,Low
Manhole overflow,Manhole overflow near Main Road spreading foul smell and health risk,manhole overflow. manhole overflow near main road spreading foul smell and health risk,Sanitation,High
Street light dim,Street light dim near Ward 3 needs bulb replacement,street light dim. street light dim near ward 3 needs bulb replacement,Electricity,Low
Dry leaves accumulated,Dry leaves accumulated near Sector 7 need removal,dry leaves accumulated. dry leaves accumulated near sector 7 need removal,Sanitation,Low
Bridge damaged,Bridge damaged near Sector 5 requires immediate attention,bridge damaged. bridge damaged near sector 5 requires immediate attention,Roads,High
Faded road markings,Faded road markings near Sector 5 need repainting,faded road markings. faded road markings near sector 5 need repainting,Roads,Low
Traffic pole bent,Traffic pole bent near Bus Stand - this is about road infrastructure not electricity,traffic pole bent. traffic pole bent near bus stand - this is about road infrastructure not electricity,Roads,High
Street light blinking,Street light blinking near Main Road needs repair,street light blinking. street light blinking near main road needs repair,Electricity,Medium
Bent road sign,Road sign slightly bent near Sector 7 needs straightening,bent road sign. road sign slightly bent near sector 7 needs straightening,Roads,Low
Damaged speed breaker,Speed breaker damaged near Near School needs repair,broke speed breaker. speed breaker broke near near school needs repair,Roads,Medium
Water timing delay,Water timing delay near Sector 7 causing minor inconvenience,water timing delay. water timing delay near sector 7 causing minor inconvenience,Water,Low
Dead animal on road,Dead animal lying on road near Market Area needs immediate removal,dead animal on road. dead animal lying on road near market area needs immediate removal,Sanitation,High
Electric pole blocking road,Electric pole blocking road near Market Area - this is about electricity infrastructure not road repair,electric pole blocking road. electric pole blocking road near market area - this is about electricity infrastructure not road repair,Electricity,Low
Road lighting problem,Road lighting problem near Ward 3 - this is about electricity infrastructure not road surface,road lighting problem. road lighting problem near ward 3 - this is about electricity infrastructure not road surface,Electricity,Medium
Faded road markings,Faded road markings near Ward 2 need repainting,faded road markings. faded road markings near ward to need repainting,Roads,Low
Water overflow from drain,Water overflow from drain near Near Hospital - this is about sanitation drainage not water supply,water overflow from drain. water overflow from drain near near hospital - this is about sanitation drainage not water supply,Sanitation,Low
Water timing delay,Water timing delay near Sector 5 causing minor inconvenience,water timing delay. water timing delay near sector 5 causing minor inconvenience,Water,Low
Street light covered,Street light covered by tree branches near Bus Stand,street light covered. street light covered by tree branches near bus stand,Electricity,Low
Street lights not working,Street lights not working near Sector 7 causing safety concern,street lights not working. street lights not working near sector 7 causing safety concern,Electricity,Medium
Water supply issue,Water supply issue near Ward 1 - this is about water not electricity,water supply issue. water supply issue near ward 1 - this is about water not electricity,Water,High
Street lights not working,Street lights not working near Near School causing safety concern,street lights not working. street lights not working near near school causing safety concern,Electricity,Medium
Water pipeline burst,Water pipeline burst near Near School flooding the area,water pipeline burst. water pipeline burst near near school flooding the area,Water,High
Street light covered,Street light covered by tree branches near Residential Colony,street light covered. street light covered by tree branches near residential colony,Electricity,Low
Dry leaves accumulated,Dry leaves accumulated near Sector 7 need removal,dry leaves accumulated. dry leaves accumulated near sector 7 need removal,Sanitation,Low
Water leakage,Water leakage near Ward 3 wasting water,water leakage. water leakage near ward 3 wasting water,Water,Medium
Open sewage overflow,Sewage overflowing near Bus Stand causing health risk and foul smell,open sewage overflow. sewage overflowing near bus stand causing health risk and foul smell,Sanitation,High
Old electric pole,Old electric pole near Near School needs replacement,old electric pole. old electric pole near near school needs replacement,Electricity,Low
Street light not working,Street light not working near Residential Colony - this is about electricity not water supply,street light not working. street light not working near residential colony - this is about electricity not water supply,Electricity,Medium
Electric pole tilted,Electric pole tilted near Bus Stand needs correction,electric pole tilted. electric pole tilted near bus stand needs correction,Electricity,Medium
Wires tangled,Wires tangled near pole near Near School need organization,wires tangled. wires tangled near pole near near school need organization,Electricity,Low
Manhole overflow,Manhole overflow near Near School spreading foul smell and health risk,manhole overflow. manhole overflow near near school spreading foul smell and health risk,Sanitation,High
Street lights not working,Street lights not working near Bus Stand causing safety concern,street lights not working. street lights not working near bus stand causing safety concern,Electricity,Medium
Major leakage flooding,Major leakage flooding road near Sector 5 blocking traffic,major leakage flooding. major leakage flooding road near sector 5 blocking traffic,Water,High
Overflowing dustbin,Overflowing dustbin near Ward 3 needs attention,overflowing dustbin. overflowing dustbin near ward 3 needs attention,Sanitation,Medium
Electric pole blocking road,Electric pole blocking road near Near Hospital - this is about electricity infrastructure not road repair,electric pole blocking road. electric pole blocking road near near hospital - this is about electricity infrastructure not road repair,Electricity,Medium
Irregular water supply,Water supply irregular near Bus Stand causing inconvenience,irregular water supply. water supply irregular near bus stand causing inconvenience,Water,Medium
Dirty drinking water,Dirty drinking water supplied near Ward 3 causing health risk,dirty drinking water. dirty drinking water supplied near ward 3 causing health risk,Water,High
Electric pole damaged,Electric pole damaged near Bus Stand - this is about electricity not road infrastructure,electric pole damaged. electric pole damaged near bus stand - this is about electricity not road infrastructure,Electricity,High
Water leakage,Water leakage near Near School wasting water,water leakage. water leakage near near school wasting water,Water,Medium
Small crack on road,Small crack on road near Ward 3 needs repair,small crack on road. small crack on road near ward 3 needs repair,Roads,Low
Minor garbage scattered,Minor garbage scattered near Residential Colony needs cleanup,minor garbage scattered. minor garbage scattered near residential colony needs cleanup,Sanitation,Low
Dead animal on road,Dead animal lying on road near Bus Stand needs immediate removal,dead animal on road. dead animal lying on road near bus stand needs immediate removal,Sanitation,High
Sewage entering houses,Sewage water entering houses near Market Area causing property damage,sewage entering houses. sewage water entering houses near market area causing property damage,Sanitation,High
Road surface cracks,Road surface cracks near Ward 2 need patching,road surface cracks. road surface cracks near ward to need patching,Roads,Medium
Large pothole causing accidents,Large pothole causing accidents near Main Road needs urgent repair,large pothole causing accidents. large pothole causing accidents near main road needs urgent repair,Roads,High
Major leakage flooding,Major leakage flooding road near Near School blocking traffic,major leakage flooding. major leakage flooding road near near school blocking traffic,Water,High
Waste collection delayed,Waste collection delayed by one day near Near Hospital,waste collection delayed. waste collection delayed by one day near near hospital,Sanitation,Low
Water light issue,Water supply issue with light pressure near Sector 5 - this is about water not electricity,water light issue. water supply issue with light pressure near sector 5 - this is about water not electricity,Water,Medium
Power supply problem,Power supply problem near Near Hospital - this is about electricity not water,power supply problem. power supply problem near near hospital - this is about electricity not water,Electricity,High
Road collapsed,Road collapsed near Market Area causing danger to vehicles,road collapsed. road collapsed near market area causing danger to vehicles,Roads,High
Manhole overflow,Manhole overflow near Ward 1 spreading foul smell and health risk,manhole overflow. manhole overflow near ward 1 spreading foul smell and health risk,Sanitation,High
Water pipe repair,Water pipe repair needed near Near School - this is about water supply not sanitation,water pipe repair. water pipe repair needed near near school - this is about water supply not sanitation,Water,Medium
Transformer blast,Transformer blast reported near Ward 3 causing power failure,transformer blast. transformer blast reported near ward 3 causing power failure,Electricity,High
Loose gravel on road,Loose gravel on road near Bus Stand causing skidding,loose gravel on road. loose gravel on road near bus stand causing skidding,Roads,Medium
Water pressure fluctuates,Water pressure fluctuates slightly near Bus Stand,wter pressure flctuates. water pressure fluctates slghtly nar bus stand,Water,Low
Street lights not working,Street lights not working near Sector 5 causing safety concern,street lights not working. street lights not working near sector 5 causing safety concern,Electricity,Medium
Garbage not collected,Garbage not collected for many days near Ward 2 causing health hazard,garbage not collected. garbage not collected for many days near ward to causing health hazard,Sanitation,High
Water supply issue,Water supply issue near Main Road - this is about water not electricity,water supply issue. water supply issue near main road - this is about water not electricity,Water,Medium
Overflowing dustbin,Overflowing dustbin near Ward 1 needs attention,overflowing dustbin. overflowing dustbin near ward 1 needs attention,Sanitation,Medium
Dry leaves accumulated,Dry leaves accumulated near Main Road need removal,dry leaves accumulated. dry leaves accumulated near main road need removal,Sanitation,Low
Water meter damaged,Water meter damaged near Main Road needs replacement,watr meter damaged. wter meter dmagd near mn road neds replacement,Water,Low
Water pipe repair,Water pipe repair needed near Residential Colony - this is about water supply not sanitation,water pipe repair. water pipe repair needed near residential colony - this is about water supply not sanitation,Water,Medium
Street lights not working,Street lights not working near Near Hospital causing safety concern,street lights not working. street lights not working near near hospital causing safety concern,Electricity,Medium
Water overflow from tank,Water overflow from tank near Sector 7 wasting water,watr overflow from tank. watr ovrflow from tank nar sector 7 wsting water,Water,Medium
Broken dustbin lid,Dustbin lid broken near Ward 3 needs repair,brokn dustbin lid. dustbin lid brken near ward 3 neds rpair,Sanitation,Low
Bent road sign,Road sign slightly bent near Sector 7 needs straightening,bent road sign. road sign slightly bent near sector 7 needs straightening,Roads,Low
Faded road markings,Faded road markings near Ward 2 need repainting,faded road markings. faded road markings near ward to need repainting,Roads,Low
Dirty drinking water,Dirty drinking water supplied near Near Hospital causing health risk,dirty drinking water. dirty drinking water supplied near near hospital causing health risk,Water,High
Electric pole tilted,Electric pole tilted near Ward 3 needs correction,electric pole tilted. electric pole tilted near ward 3 needs correction,Electricity,Medium
Street light dim,Street light dim near Ward 1 needs bulb replacement,street light dim. street light dim near ward 1 needs bulb replacement,Electricity,Low
Transformer blast,Transformer blast reported near Ward 3 causing power failure,transformer blast. transformer blast reported near ward 3 causing power failure,Electricity,High
Irregular water supply,Water supply irregular near Market Area causing inconvenience,irregular water supply. water supply irregular near market area causing inconvenience,Water,Medium
Broken dustbin lid,Dustbin lid broken near Residential Colony needs repair,broken dustbin lid. dustbin lid broken near residential colony needs repair,Sanitation,Low
Transformer blast,Transformer blast reported near Near Hospital causing power failure,transformer blast. transformer blast reported near near hospital causing power failure,Electricity,High
Water timing delay,Water timing delay near Ward 2 causing minor inconvenience,water timing delay. water timing delay near ward to causing minor inconvenience,Water,Low
Water overflow from tank,Water overflow from tank near Residential Colony wasting water,water overflow from tank. water overflow from tank near residential colony wasting water,Water,Medium
Bad smell from bins,Bad smell from waste bins near Sector 7 affecting residents,bad smell from bins. bad smell from waste bins near sector 7 affecting residents,Sanitation,Medium
Public tap not working,Public tap not working near Main Road needs repair,public tap not working. public tap not working near main road needs repair,Water,Medium
Dry leaves accumulated,Dry leaves accumulated near Sector 7 need removal,dry leaves accmulted. dry levs accmulated near sectr 7 ned removal,Sanitation,Low
Power supply problem,Power supply problem near Sector 5 - this is about electricity not water,power supply problem. power supply problem near sector 5 - this is about electricity not water,Electricity,High
Public tap not working,Public tap not working near Bus Stand needs repair,public tap not working. public tap not working near bus stand needs repair,Water,Medium
No water supply,No water supply for several days near Ward 2 causing hardship,no water supply. no water supply for several days near ward to causing hardship,Water,High
Major leakage flooding,Major leakage flooding road near Residential Colony blocking traffic,major leakage flooding. major leakage flooding road near residential colony blocking traffic,Water,High
Street light blinking,Street light blinking near Ward 3 needs repair,street light blinking. street light blinking near ward 3 needs repair,Electricity,Medium
Public tap not working,Public tap not working near Near School needs repair,public tap not working. public tap not working near near school needs repair,Water,Medium
Road collapsed,Road collapsed near Ward 3 causing danger to vehicles,road collapsed. road collapsed near ward 3 causing danger to vehicles,Roads,High
Road surface cracks,Road surface cracks near Sector 7 need patching,road surface cracks. road surface cracks near sector 7 need patching,Roads,Medium
Electric box rusted,Electric box rusted near Ward 1 needs maintenance,electric box rusted. electric box rusted near ward 1 needs maintenance,Electricity,Low
Water meter damaged,Water meter damaged near Bus Stand needs replacement,water meter damaged. water meter damaged near bus stand needs replacement,Water,Low
Road collapsed,Road collapsed near Market Area causing danger to vehicles,road collapsed. road collapsed near market area causing danger to vehicles,Roads,High
Water overflow from drain,Water overflow from drain near Residential Colony - this is about sanitation drainage not water supply,water overflow from drain. water overflow from drain near residential colony - this is about sanitation drainage not water supply,Sanitation,Medium
Slow water flow,Slow water flow near Ward 3 needs pressure check,slow watr flow. slow water flow near wrd 3 neds pressure chck,Water,Low
Road lighting problem,Road lighting problem near Bus Stand - this is about electricity infrastructure not road surface,road lighting problem. road lighting problem near bus stand - this is about electricity infrastructure not road surface,Electricity,Low
Uneven road,Uneven road slowing traffic near Sector 5 needs leveling,uneven road. uneven road slowing traffic near sector 5 needs leveling,Roads,Medium
Street light dim,Street light dim near Ward 2 needs bulb replacement,street light dim. street light dim near ward to needs bulb replacement,Electricity,Low
Electric pole fallen,Electric pole fallen near Near School causing power outage and risk,electric pole fallen. electric pole fallen near near school causing power outage and risk,Electricity,High
Water overflow from tank,Water overflow from tank near Near Hospital wasting water,water overflow from tank. water overflow from tank near near hospital wasting water,Water,Medium
Large pothole causing accidents,Large pothole causing accidents near Ward 3 needs urgent repair,large pothole causing accidents. large pothole causing accidents near ward 3 needs urgent repair,Roads,High
Road surface cracks,Road surface cracks near Bus Stand need patching,road surface cracks. road surface cracks near bus stand need patching,Roads,Medium
Electric pole fallen,Electric pole fallen near Bus Stand causing power outage and risk,electric pole fallen. electric pole fallen near bus stand causing power outage and risk,Electricity,High
Water pressure fluctuates,Water pressure fluctuates slightly near Residential Colony,water pressure fluctuates. water pressure fluctuates slightly near residential colony,Water,Low
Faded road markings,Faded road markings near Sector 5 need repainting,faded road markings. faded road markings near sector 5 need repainting,Roads,Low
Stagnant water breeding,Stagnant water breeding mosquitoes near Ward 2 - this is about sanitation not water supply,stagnant water breeding. stagnant water breeding mosquitoes near ward to - this is about sanitation not water supply,Sanitation,Medium
Broken dustbin lid,Dustbin lid broken near Bus Stand needs repair,broken dustbin lid. dustbin lid broken near bus stand needs repair,Sanitation,Low
Electric pole tilted,Electric pole tilted near Market Area needs correction,electric pole tilted. electric pole tilted near market area needs correction,Electricity,Medium
Dry leaves accumulated,Dry leaves accumulated near Residential Colony need removal,dry leaves accumulated. dry leaves accumulated near residential colony need removal,Sanitation,Low
Live wire exposed,Live electric wire exposed near Ward 2 causing extreme danger,live wire exposed. live electric wire exposed near ward to causing extreme danger,Electricity,High
Dust on roadside,Dust on roadside near Ward 2 needs cleaning,dust on roadside. dust on roadside near ward to needs cleaning,Roads,Low
Sewage entering houses,Sewage water entering houses near Near Hospital causing property damage,sewage entering houses. sewage water entering houses near near hospital causing property damage,Sanitation,High
Dirty drinking water,Dirty drinking water supplied near Sector 5 causing health risk,dirty drinking water. dirty drinking watr supplied nr sctr 5 casing health risk,Water,High
Major leakage flooding,Major leakage flooding road near Ward 2 blocking traffic,major leakage flooding. major leakage flooding road near ward to blocking traffic,Water,High
Dirty public toilet,Public toilet dirty near Near Hospital requires cleaning,dirty public toilet. public toilet dirty near near hospital requires cleaning,Sanitation,Medium
Sewage entering houses,Sewage water entering houses near Ward 2 causing property damage,sewage entering houses. sewage water entering houses near ward to causing property damage,Sanitation,High
Street light dim,Street light dim near Main Road needs bulb replacement,street light dim. street light dim near main road needs bulb replacement,Electricity,Low
Water light issue,Water supply issue with light pressure near Near Hospital - this is about water not electricity,water light issue. water supply issue with light pressure near near hospital - this is about water not electricity,Water,Low
Street lights not working,Street lights not working near Ward 2 causing safety concern,street lights gone. street lights gone near ward to causing safety concern,Electricity,Medium
Low voltage issue,Low voltage issue near Sector 7 affecting electrical appliances,low voltage issue. low voltage issue near sector 7 affecting electrical appliances,Electricity,Medium
Broken footpath,Broken footpath near Residential Colony causing pedestrian inconvenience,broken footpath. broken footpath near residential colony causing pedestrian inconvenience,Roads,Medium
Manhole overflow,Manhole overflow near Ward 2 spreading foul smell and health risk,manhole overflow. manhole overflow near ward to spreading foul smell and health risk,Sanitation,High
Road flooded blocking traffic,Road flooded near Main Road blocking traffic completely,road flooded blocking traffic. road flooded near main road blocking traffic completely,Roads,High
Street lights not working,Street lights not working near Near Hospital causing safety concern,street lights not working. street lights not working near near hospital causing safety concern,Electricity,Medium
Dust on roadside,Dust on roadside near Bus Stand needs cleaning,dust on roadside. dust on roadside near bus stand needs cleaning,Roads,Low
Loose gravel on road,Loose gravel on road near Ward 3 causing skidding,loose gravel on road. loose gravel on road near ward 3 causing skidding,Roads,Medium
Old electric pole,Old electric pole near Residential Colony needs replacement,old electric pole. old electric pole near residential colony needs replacement,Electricity,Low
Bent road sign,Road sign slightly bent near Near School needs straightening,bent road sign. rad sgn slightly bent near near schol neds straightnng,Roads,Low
Loose gravel on road,Loose gravel on road near Near School causing skidding,loose gravel on road. loose gravel on road near near school causing skidding,Roads,Medium
Street light blinking,Street light blinking near Ward 1 needs repair,street light blinking. street light blinking near ward 1 needs repair,Electricity,Medium
Slow water flow,Slow water flow near Ward 3 needs pressure check,slow water flow. slow water flow near ward 3 needs pressure check,Water,Low
Water timing delay,Water timing delay near Sector 5 causing minor inconvenience,water timing delay. water timing delay near sector 5 causing minor inconvenience,Water,Low
Dust on roadside,Dust on roadside near Main Road needs cleaning,dust on roadside. dust on roadside near main road needs cleaning,Roads,Low
Old electric pole,Old electric pole near Ward 2 needs replacement,old electric pole. old electric pole near ward to needs replacement,Electricity,Low
Bridge damaged,Bridge damaged near Bus Stand requires immediate attention,bridge damaged. bridge damaged near bus stand requires immediate attention,Roads,High
Transformer blast,Transformer blast reported near Sector 5 causing power failure,transformer blast. transformer blast reported near sector 5 causing power failure,Electricity,High
Sewage entering houses,Sewage water entering houses near Sector 5 causing property damage,sewage entering houses. sewage water entering houses near sector 5 causing property damage,Sanitation,High
Dry leaves accumulated,Dry leaves accumulated near Ward 2 need removal,dry leaves accumulated. dry leaves accumulated near ward to need removal,Sanitation,Low
Frequent power cuts,Frequent power cuts near Sector 7 affecting daily life,frequent power cuts. frequent power cuts near sector 7 affecting daily life,Electricity,Medium
Road surface cracks,Road surface cracks near Residential Colony need patching,road surface cracks. road surface cracks near residential colony need patching,Roads,Medium
Dust on roadside,Dust on roadside near Ward 3 needs cleaning,dust on roadside. dust on roadside near ward 3 needs cleaning,Roads,Low
Bent road sign,Road sign slightly bent near Ward 1 needs straightening,bent road sign. road sign slightly bent near ward 1 needs straightening,Roads,Low
Electric box rusted,Electric box rusted near Sector 5 needs maintenance,electric box rusted. electric box rusted near sector 5 needs maintenance,Electricity,Low
Bent road sign,Road sign slightly bent near Sector 5 needs straightening,bent road sign. road sign slightly bent near sector 5 needs straightening,Roads,Low
Water pressure fluctuates,Water pressure fluctuates slightly near Main Road,water pressure fluctuates. water pressure fluctuates slightly near main road,Water,Low
Mosquito breeding,Mosquito breeding due to stagnant water near Sector 5,mosquito breeding. mosquito breeding due to stagnant water near sector 5,Sanitation,Medium
Overflowing dustbin,Overflowing dustbin near Ward 1 needs attention,overflowing dustbin. overflowing dustbin near ward 1 needs attention,Sanitation,Medium
Low voltage issue,Low voltage issue near Sector 7 affecting electrical appliances,low voltage issue. low voltage issue near sector 7 affecting electrical appliances,Electricity,Medium
Irregular garbage collection,Garbage collection irregular near Main Road causing inconvenience,irregular garbage collection. garbage collection irregular near main road causing inconvenience,Sanitation,Medium
Slow water flow,Slow water flow near Residential Colony needs pressure check,slow water flow. slow water flow near residential colony needs pressure check,Water,Low
Electric pole tilted,Electric pole tilted near Ward 2 needs correction,electric pole tilted. electric pole tilted near ward to needs correction,Electricity,Medium
Water leakage,Water leakage near Near Hospital wasting water,water leakage. watr lakge near nr hospital wasting wter,Water,Medium
Water pressure fluctuates,Water pressure fluctuates slightly near Bus Stand,water pressure fluctuates. water pressure fluctuates slightly near bus stand,Water,Low
Slow water flow,Slow water flow near Ward 3 needs pressure check,slw water flw. slw water flw near ward 3 neds pressure chck,Water,Low
Street light dim,Street light dim near Market Area needs bulb replacement,street light dim. street light dim near market area needs bulb replacement,Electricity,Low
Irregular water supply,Water supply irregular near Ward 1 causing inconvenience,irregular water supply. water supply irregular near ward 1 causing inconvenience,Water,Medium
Dry leaves accumulated,Dry leaves accumulated near Ward 1 need removal,dry leaves accumulated. dry leaves accumulated near ward 1 need removal,Sanitation,Low
Water timing delay,Water timing delay near Market Area causing minor inconvenience,water timing delay. water timing delay near market area causing minor inconvenience,Water,Low
Water meter damaged,Water meter damaged near Ward 2 needs replacement,water meter damaged. water meter damaged near ward to needs replacement,Water,Low
Water pressure fluctuates,Water pressure fluctuates slightly near Ward 1,water pressure fluctuates. water pressure fluctuates slightly near ward 1,Water,Low
Electric box rusted,Electric box rusted near Residential Colony needs maintenance,electric box rusted. electric box rusted near residential colony needs maintenance,Electricity,Low
Road flooded blocking traffic,Road flooded near Sector 7 blocking traffic completely,road flooded blocking traffic. road flooded near sector 7 blocking traffic completely,Roads,High
Water supply issue,Water supply issue near Ward 2 - this is about water not electricity,water supply issue. water supply issue near ward to - this is about water not electricity,Water,High
Sewage pipe burst,Sewage pipe burst near Ward 3 - this is about sanitation not water supply,sewage pipe burst. sewage pipe burst near ward 3 - this is about sanitation not water supply,Sanitation,High
Wires tangled,Wires tangled near pole near Residential Colony need organization,wires tangled. wires tangled near pole near residential colony need organization,Electricity,Low
Water meter damaged,Water meter damaged near Ward 2 needs replacement,water meter damaged. water meter damaged near ward to needs replacement,Water,Low
Bridge damaged,Bridge damaged near Main Road requires immediate attention,bridge damaged. bridge damaged near main road requires immediate attention,Roads,High
Road surface cracks,Road surface cracks near Sector 7 need patching,road surface cracks. road surface cracks near sector 7 need patching,Roads,Medium
